id,realty_type,airbnb_neighborhood,ad_title,listing_obj_type,kicker_content_message,is_superhost,is_new_listing,guests,bedrooms,beds,bathrooms,extraction_date,lat,lon,city,base_price,price_iqr,n_price_obs,los3_share,review_count,bathrooms_num,distance_to_market_center_km,has_studio,has_loft,has_luxury,has_view,has_metro,has_parking,has_pool,has_gym,has_wifi,has_air_conditioning,has_beach,has_balcony,title_len,title_word_count,description_len,is_superhost_int,is_new_listing_int,market_segment,guests_model,bedrooms_model,beds_model,bathrooms_model,bath_per_bedroom,beds_per_guest,guests_per_bedroom
1584871110558473916,Entire rental unit,São Paulo,"Design that Embraces, Location that Enchants",REGULAR,Entire rental unit in São Paulo,False,True,2,1,1.0,1,2026-02-01,-23.62376,-46.69004,São Paulo,180.13333333333333,25.533333333333303,21,0.2857142857142857,1,1.0,7.19798519837986,0,0,0,0,0,0,0,0,0,0,0,0,44,6,31,0,1,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1553737037197249287,Entire rental unit,São Paulo,Your modern retreat in Vila Santo Stefano,REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.62654,-46.62091,São Paulo,159.8,26.0,255,0.0,2,1.0,8.040018932549325,0,0,0,0,0,0,0,0,0,0,0,0,41,7,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1552408293080941062,Entire rental unit,São Paulo,Modern Apartment Downtown SP-Shopping Paradise,REGULAR,Entire rental unit in São Paulo,True,False,5,1,2.0,1,2026-02-01,-23.5369307507329,-46.62937995046377,São Paulo,224.66666666666663,79.06666666666669,33,0.5454545454545454,17,1.0,4.489189713868724,0,0,0,0,0,0,0,0,0,0,0,0,46,5,31,1,0,urban_core,5,1,2.0,1.0,1.0,0.4,5.0
1070164755469932123,Entire rental unit,São Paulo,"Zainalofts7Moema next to subway, Ibira, CASV 509ID",REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.6005048,-46.6627072,São Paulo,225.66666666666663,31.779999999999973,126,0.0,83,1.0,4.000788604504672,0,0,0,0,1,0,0,0,0,0,0,0,50,7,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1232569072285539257,Entire rental unit,Bela Vista,Super modern apartment in Bela Vista | BL0114,REGULAR,Entire rental unit in Bela Vista,False,False,4,2,2.0,2,2026-02-01,-23.56285653048176,-46.64861120913796,São Paulo,485.83333333333337,117.00000000000006,6,1.0,10,2.0,1.328021156379592,0,0,0,1,0,0,0,0,0,0,0,0,53,10,32,0,0,urban_core,4,2,2.0,2.0,1.0,0.5,2.0
1278566490004255714,Entire rental unit,Santo Amaro,Extension Berrini with Washing Machine 10th floor,REGULAR,Entire rental unit in Santo Amaro,True,False,2,1,2.0,1,2026-02-01,-23.6278142,-46.7032847,São Paulo,500.27333333333337,6031.4,70,0.14285714285714285,25,1.0,8.223091461430021,0,0,0,1,0,0,0,0,0,0,0,0,49,7,33,1,0,urban_core,2,1,2.0,1.0,1.0,1.0,2.0
1519507484323755423,Entire rental unit,São Paulo,"Próximo Transamerica e Vibra, sem estacionamento.",REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.645758398919803,-46.72134324744916,São Paulo,410.5,225.58333333333337,12,1.0,16,1.0,10.896036775932425,0,0,0,0,0,0,0,0,0,0,0,0,49,6,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1436569774017740729,Entire rental unit,Alvinópolis,Pamplona Studios Cd 1510 Masp,REGULAR,Entire rental unit in Alvinópolis,False,False,2,1,1.0,1,2026-02-01,-23.5650216,-46.655381,São Paulo,267.1666666666667,65.66666666666669,33,0.5454545454545454,13,1.0,0.6270080417275015,0,0,0,0,0,0,0,0,0,0,0,0,29,5,33,0,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1233334284185371705,Entire rental unit,Itaim Bibi,New and modern apartment with 2 en-suites,REGULAR,Entire rental unit in Itaim Bibi,False,False,4,2,2.0,2,2026-02-01,-23.62356,-46.69517,São Paulo,925.0,12604.733333333334,105,0.0,1,2.0,7.404814375485675,0,0,0,0,0,0,0,0,0,0,0,0,41,7,32,0,0,urban_core,4,2,2.0,2.0,1.0,0.5,2.0
1455248858226829895,Entire rental unit,Itaim Bibi,Modern studio with a view!,REGULAR,Entire rental unit in Itaim Bibi,False,False,3,1,2.0,1,2026-02-01,-23.62635479195229,-46.68976052204777,São Paulo,320.0,39.416666666666686,12,1.0,4,1.0,7.45178494547168,1,0,0,1,0,0,0,0,0,0,0,0,26,5,32,0,0,urban_core,3,1,2.0,1.0,1.0,0.6666666666666666,3.0
1105187631339986766,Entire rental unit,São Paulo,Sophistication steps from Huawei - ADD Berrini 911,REGULAR,Entire rental unit in São Paulo,True,False,2,1,,1,2026-02-01,-23.6262791,-46.7009676,São Paulo,448.73333333333335,11.466666666666697,335,0.0,23,1.0,7.955647726198867,0,0,0,0,0,0,0,0,0,0,0,0,50,8,31,1,0,urban_core,2,1,,1.0,1.0,,2.0
1430007536154117838,Entire rental unit,Butantã,Studio USP - 50 meters from Butantã subway,REGULAR,Entire rental unit in Butantã,True,False,2,1,1.0,1,2026-02-01,-23.57014,-46.708,São Paulo,242.06666666666663,17.93333333333331,116,0.15517241379310345,6,1.0,4.778946808766878,1,0,0,0,1,0,0,0,0,0,0,0,42,8,29,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
894696199951058416,Entire rental unit,Vila Mariana,Space 600 meters from Paulista/Paradise Studio.,REGULAR,Entire rental unit in Vila Mariana,False,False,2,1,1.0,1,2026-02-01,-23.576668,-46.6424245,São Paulo,292.1333333333333,9.333333333333314,172,0.03488372093023256,46,1.0,2.366851003705096,1,0,0,1,0,0,0,0,0,0,0,0,47,6,34,0,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1552225474166340573,Entire rental unit,São Paulo,Beautiful studio with balcony and queen bed in Brooklin,REGULAR,Entire rental unit in São Paulo,False,False,2,1,1.0,1,2026-02-01,-23.62117,-46.68696,São Paulo,213.43333333333334,53.68333333333328,240,0.0,4,1.0,6.809917065199739,1,0,0,0,0,0,0,0,0,0,0,1,55,9,31,0,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1493624027684331624,Entire rental unit,Vila Mariana,A delightful apartment in São Paulo!,REGULAR,Entire rental unit in Vila Mariana,True,False,3,1,1.0,1,2026-02-01,-23.58651,-46.63731,São Paulo,319.26666666666665,17.450000000000045,300,0.0,5,1.0,3.4713306667850055,0,0,0,1,0,0,0,0,0,0,0,0,36,6,34,1,0,urban_core,3,1,1.0,1.0,1.0,0.3333333333333333,3.0
1582151921012287820,Entire rental unit,São Paulo,Atmosfera Hachi 706 I Studio Premium & Luz Natural,REGULAR,Entire rental unit in São Paulo,True,True,2,1,1.0,1,2026-02-01,-23.56098180239053,-46.67049029803497,São Paulo,357.1333333333333,16.80000000000001,51,0.11764705882352941,2,1.0,0.9971859974171106,1,0,0,0,0,0,0,0,0,0,0,0,50,9,31,1,1,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1552431171061886196,Entire rental unit,Osasco,"Comfort, Convenience and Sunset in Downtown Osasco",REGULAR,Entire rental unit in Osasco,True,False,5,2,3.0,2,2026-02-01,-23.532782867292475,-46.772335915869135,São Paulo,348.53333333333336,5.933333333333337,78,0.038461538461538464,11,2.0,11.836069800160354,0,0,0,0,0,0,0,0,0,0,0,0,50,7,28,1,0,urban_core,5,2,3.0,2.0,1.0,0.6,2.5
1529033054897531742,Entire rental unit,São Paulo,HP13_6 - Apto moderno - Av Paulista,REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.5742106,-46.6435075,São Paulo,250.03333333333333,30.916666666666686,240,0.0,6,1.0,2.126636893570438,0,0,0,0,0,0,0,0,0,0,0,0,35,7,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1517614736375253329,Entire rental unit,São Paulo,Excellent location for daily rental,REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.623261380602887,-46.68376676738262,São Paulo,266.0,18.33333333333337,9,1.0,67,1.0,6.912004984484402,0,0,0,0,0,0,0,0,0,0,0,0,35,5,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
