,distance_to_market_center_km
count,11492.0
mean,90.25883882854653
std,789.3237965655741
min,0.0776402877407407
50%,4.453031474918993
75%,7.4748061920531566
90%,14.04501246036103
95%,70.9687237433442
99%,7863.636752987906
99.5%,7869.204504034658
max,7877.058519405807
