,base_price
count,11492.0
mean,627.9744041942221
std,2005.6483870477464
min,101.66666666666669
1%,133.46666666666667
5%,164.37
25%,219.91666666666666
50%,278.0
75%,421.3833333333333
95%,1832.3333333333333
99%,6482.3750000000055
99.5%,11094.873500000002
max,56551.0
