market_segment,n,actual_median,pred_median,MAE,MAPE,Bias
beach_premium,84,2322.75,2133.1091130005234,3811.444417120577,38.63668373501415,-3314.74327886099
extended_market,50,266.06666666666666,232.58073717514776,298.9001959722164,36.18517404246378,-249.52285130611108
urban_core,1990,268.8,261.9762621681448,209.4007200617636,22.933288175841998,-155.4926921002323
