price_band,n,actual_median,pred_median,MAE,MAPE,Bias
low,531,191.33333333333331,226.66929018273328,46.13485527900633,26.304665004123276,45.00784183991277
mid_low,531,243.66666666666663,245.69239641301652,30.775469733641227,12.726559330751046,12.818504428625339
mid_high,531,323.4,291.28950019034914,64.01787386608183,19.02945338920051,-17.300883297437533
high,531,671.3333333333333,447.5021751301741,1274.9169494445266,37.4044514770362,-1171.1187497302174
