,base_price
count,10618.0
mean,623.0728330194011
std,2062.4198930397397
min,101.66666666666669
1%,133.14466666666667
5%,163.66666666666666
25%,218.6
50%,274.5666666666667
75%,408.05
95%,1816.5999999999985
99%,6427.32
max,56551.0
