model,MAE,RMSE,MAPE,MdAPE,R2_log,Bias
robust_segmented_hgb_log_mae,353.961287080814,2362.6796791258653,23.866282300277756,16.6052651232221,0.5170369908889587,-282.64832168977915
huber_log,364.26173943271505,2334.610688476431,27.177682067826552,20.34087278979583,0.4845247375001899,-282.36712504992994
random_forest_log,366.2402038449118,2345.4766583543146,28.743206581583898,20.552380893843342,0.535191190275083,-222.6519914958982
ridge_log,370.02577528820666,2289.620041588995,31.719591670918255,24.63264256201946,0.502088042034732,-234.9340260644525
extra_trees_log,375.935146291447,2322.063307173235,31.121097256069337,21.159908567311696,0.5177757812446152,-217.2515552325906
baseline_neighborhood,400.3436768675455,2419.061129403675,32.940470578932526,25.375860885617584,0.2848596439385498,-310.24475784682994
