feature,importance_mae,importance_std
bathrooms_model,63.52566549535361,2.1421996954531473
lon,26.99535248814726,0.9411419011154243
lat,25.637067279345764,1.038542937050741
bedrooms_model,23.269375219730126,1.2610074384422498
has_beach,17.01406550519913,0.6273303929041492
distance_to_market_center_km,8.801052351792702,0.4147705874881294
guests_model,7.602352198827373,0.727738230821414
is_superhost_int,1.4711694454592248,0.9245797879716294
has_metro,1.3363403253809338,0.634508932339687
title_word_count,1.297538416580983,0.12829857515023488
airbnb_neighborhood,0.8662802909856054,0.30780068392680027
description_len,0.7900616900478099,0.19045842994805526
bath_per_bedroom,0.7348395929460707,0.582491370743402
beds_model,0.6582273456330086,0.1152438649304005
title_len,0.6237957618866062,0.2052886280896422
has_studio,0.5753796740998723,0.2390192580868552
has_view,0.4134449089287955,0.43277680425261605
has_balcony,0.2471743607880171,0.022988266938560282
guests_per_bedroom,0.15858244909215954,0.2523843996776769
market_segment,0.15461502997120533,0.028266541929287566
is_new_listing_int,0.10758121348644636,0.034727017070535715
has_luxury,0.09536837199541423,0.16903797551338007
has_parking,0.07518687127866315,0.050565432661945
has_loft,0.017663462488144432,0.026104125158561448
listing_obj_type,0.004976919726277629,0.021939566922451276
has_gym,-0.007875132469189338,0.01091041835809227
has_air_conditioning,-0.013110961464906267,0.0032038876600280946
has_pool,-0.01371962005188152,0.003685874901533211
has_wifi,-0.015559562952682881,0.012132353389243955
beds_per_guest,-0.08400612867395693,0.23646685720328997
