bedrooms,n,actual_median,MAE,MAPE,Bias
1,1510,249.73333333333332,144.50088197200824,20.95569738345216,-102.83032241797515
2,455,389.06666666666666,313.8832375447194,28.12264541808019,-230.22464408740035
3,99,1118.0,988.3898475123775,37.344222256513106,-820.8261969244081
4,53,2729.2,4447.386643746144,43.395183292818906,-3846.9238995204323
5,6,4416.766666666666,9536.76543038676,42.31743394504735,-9192.06431560074
6,1,832.2266666666667,17.889294477547878,2.149569966220887,-17.889294477547878
